IDFolio,IDPersona,IDViaje,Motorizado
18007012,3,9,0
26042013,3,1,0
35024025,3,1,1
26001030,2,6,1
24027026,3,2,1
68004021,3,3,1
25024001,1,6,1
19013029,6,1,1
20027010,2,2,1
24007026,2,1,1
46067031,4,2,0
5030018,5,1,1
34009006,2,4,1
33041039,1,2,0
24059007,1,1,0
27015009,1,4,0
71037021,2,3,1
18007012,4,1,0
26042013,3,2,1
35024025,3,2,1
26001030,2,7,1
24027026,3,3,1
68004021,3,4,1
25024001,1,7,1
19013029,6,2,1
20027010,2,3,1
24007026,2,2,1
46067031,3,1,1
5030018,5,2,1
34009006,3,1,1
33041039,1,3,0
24059007,1,2,0
27015009,1,5,1
71037021,2,4,1
18007012,4,2,0
26042013,3,3,1
35022011,2,1,1
26001030,2,8,1
24027026,3,4,1
68004021,3,5,1
25024001,1,8,1
19013029,6,3,1
20027010,2,4,1
24007026,2,3,1
46067031,3,2,1
5030018,5,3,1
34009006,3,2,1
33041039,1,4,0
4006011,1,1,1
24059007,1,3,0
27015009,1,6,1
71037021,1,1,1
18007012,4,3,0
26042013,3,4,0
35022011,2,2,1
26001030,2,9,1
24027026,1,1,1
68004021,3,6,0
19013029,1,1,1
20013008,1,1,0
24007026,2,4,1
46029022,5,1,1
5030018,5,4,1
34009006,3,3,1
33071007,4,1,1
4006011,1,2,1
24059007,1,4,0
27015009,1,7,1
71037021,1,2,1
18007012,4,4,0
26027010,1,1,1
35022011,4,1,1
26001030,2,10,1
24027026,1,2,1
68004021,3,7,0
19013029,1,2,1
20013008,1,2,0
24007026,2,5,0
46029022,5,2,1
5030018,3,1,1
34009006,3,4,1
33071007,4,2,1
4006011,1,3,1
24059007,1,5,0
27015024,6,1,1
71037021,3,1,1
18007012,4,5,0
26027010,1,2,1
35022011,4,2,1
26001030,3,1,1
24027026,1,3,0
68004021,5,1,0
19013029,1,3,1
20013008,1,3,0
24007026,2,6,0
46029022,3,1,1
5030018,3,2,1
33071007,2,1,1
4006011,1,4,1
24059007,1,6,0
27015024,6,2,1
71037021,3,2,1
18017024,2,1,0
26042016,2,1,1
35022011,4,3,1
26001030,3,2,1
24027026,1,4,0
68004021,5,2,0
19013029,1,4,1
20013018,4,1,1
24007026,1,1,0
46029022,3,2,1
5030018,2,1,1
33071007,2,2,0
4006908,2,1,1
24059007,2,1,0
27015024,5,1,1
71037021,3,3,1
18017024,2,2,0
26042016,2,2,1
35022011,4,4,1
26001030,3,3,1
24027047,2,1,1
68004021,1,1,1
19013029,4,1,1
20013018,4,2,1
24007026,1,2,0
46029022,2,1,0
5030018,2,2,1
33071007,2,3,1
4006908,2,2,1
24059007,2,2,0
27015024,5,2,1
71037021,3,4,1
18017024,2,3,0
26042016,1,1,1
35022011,3,1,1
26001030,3,4,1
24027047,2,2,1
68004021,1,2,1
19013029,4,2,1
20013018,4,3,1
24007026,1,3,0
46029022,2,2,0
5030018,2,3,1
34009007,1,1,1
33071007,1,1,0
4006908,4,1,1
24059007,2,3,0
27053009,5,1,1
73004034,1,1,1
18017024,2,4,0
33059002,3,1,1
26042016,1,2,1
35022011,3,2,0
26001030,3,5,1
24027047,2,3,1
68004021,4,1,1
19013029,4,3,1
20013018,4,4,1
