IDFolio,Ingreso,Estrato,EstratoAgregado,Imputados
75033913,250000.0,1_BAJO,1_BAJO,0
75047010,775000.0,2_MEDIO,2_MEDIO,0
75047012,535000.0,2_MEDIO,2_MEDIO,0
75047013,925000.0,2_MEDIO,2_MEDIO,0
75047016,1115000.0,3_ALTO,3_ALTO,0
75047019,925000.0,2_MEDIO,2_MEDIO,0
75055002,410000.0,2_MEDIO,2_MEDIO,0
75055003,550000.0,2_MEDIO,2_MEDIO,0
75055012,375000.0,2_MEDIO,2_MEDIO,0
75055013,250000.0,1_BAJO,1_BAJO,0
75055901,700000.0,2_MEDIO,2_MEDIO,0
75068001,860000.0,2_MEDIO,2_MEDIO,0
75068002,450000.0,2_MEDIO,2_MEDIO,0
75068006,1075000.0,3_ALTO,3_ALTO,0
75068016,325000.0,1_BAJO,1_BAJO,0
75068900,875000.0,2_MEDIO,2_MEDIO,0
75068902,450000.0,2_MEDIO,2_MEDIO,0
75074002,735000.0,2_MEDIO,2_MEDIO,0
75074004,1250000.0,3_ALTO,3_ALTO,0
75074009,950000.0,2_MEDIO,2_MEDIO,0
75074011,775000.0,2_MEDIO,2_MEDIO,0
75074901,300000.0,1_BAJO,1_BAJO,0
75074903,610000.0,2_MEDIO,2_MEDIO,0
75074905,575000.0,2_MEDIO,2_MEDIO,0
75075001,875000.0,2_MEDIO,2_MEDIO,0
75075017,90000.0,1_BAJO,1_BAJO,0
75075900,250000.0,1_BAJO,1_BAJO,0
75075901,925000.0,2_MEDIO,2_MEDIO,0
75075902,775000.0,2_MEDIO,2_MEDIO,0
75075903,325000.0,1_BAJO,1_BAJO,0
75076003,430000.0,2_MEDIO,2_MEDIO,0
75076005,320000.0,1_BAJO,1_BAJO,0
75076013,450000.0,2_MEDIO,2_MEDIO,0
75076018,485000.0,2_MEDIO,2_MEDIO,0
75076026,875000.0,2_MEDIO,2_MEDIO,0
75077009,575000.0,2_MEDIO,2_MEDIO,0
75077014,700000.0,2_MEDIO,2_MEDIO,0
75077026,825000.0,2_MEDIO,2_MEDIO,0
75077900,900000.0,2_MEDIO,2_MEDIO,0
75077901,550000.0,2_MEDIO,2_MEDIO,0
75077902,250000.0,1_BAJO,1_BAJO,0
75093005,625000.0,2_MEDIO,2_MEDIO,0
75093009,456000.0,2_MEDIO,2_MEDIO,0
75093028,340000.0,1_BAJO,1_BAJO,0
75093900,375000.0,2_MEDIO,2_MEDIO,0
75093901,625000.0,2_MEDIO,2_MEDIO,0
75093903,950000.0,2_MEDIO,2_MEDIO,0
75114002,1000000.0,2_MEDIO,2_MEDIO,0
75114009,250000.0,1_BAJO,1_BAJO,0
75114012,375000.0,2_MEDIO,2_MEDIO,0
75114018,375000.0,2_MEDIO,2_MEDIO,0
75114019,700000.0,2_MEDIO,2_MEDIO,0
75116001,126000.0,1_BAJO,1_BAJO,1
75116015,535000.0,2_MEDIO,2_MEDIO,0
75116018,160000.0,1_BAJO,1_BAJO,0
75116020,800000.0,2_MEDIO,2_MEDIO,0
75116021,1100000.0,3_ALTO,3_ALTO,0
75116033,575000.0,2_MEDIO,2_MEDIO,0
75116901,325000.0,1_BAJO,1_BAJO,0
75116902,550000.0,2_MEDIO,2_MEDIO,0
75116904,325000.0,1_BAJO,1_BAJO,0
75123020,375000.0,2_MEDIO,2_MEDIO,0
75123029,825000.0,2_MEDIO,2_MEDIO,0
75123900,375000.0,2_MEDIO,2_MEDIO,0
75123901,925000.0,2_MEDIO,2_MEDIO,0
75123902,775000.0,2_MEDIO,2_MEDIO,0
75127010,450000.0,2_MEDIO,2_MEDIO,0
75127015,325000.0,1_BAJO,1_BAJO,0
75127900,625000.0,2_MEDIO,2_MEDIO,0
75127901,550000.0,2_MEDIO,2_MEDIO,0
75127903,160000.0,1_BAJO,1_BAJO,0
75127904,1325000.0,3_ALTO,3_ALTO,0
75143002,875000.0,2_MEDIO,2_MEDIO,0
75143007,325000.0,1_BAJO,1_BAJO,0
75143009,535000.0,2_MEDIO,2_MEDIO,0
75143018,500000.0,2_MEDIO,2_MEDIO,0
75143019,180000.0,1_BAJO,1_BAJO,1
75148013,860000.0,2_MEDIO,2_MEDIO,0
75148037,700000.0,2_MEDIO,2_MEDIO,0
75148900,450000.0,2_MEDIO,2_MEDIO,0
75148901,535000.0,2_MEDIO,2_MEDIO,0
75148904,150000.0,1_BAJO,1_BAJO,1
75148905,610000.0,2_MEDIO,2_MEDIO,0
75153014,500000.0,2_MEDIO,2_MEDIO,0
75153019,830000.0,2_MEDIO,2_MEDIO,0
75153900,340000.0,1_BAJO,1_BAJO,0
75153901,375000.0,2_MEDIO,2_MEDIO,0
75153902,500000.0,2_MEDIO,2_MEDIO,0
75160013,325000.0,1_BAJO,1_BAJO,0
75160014,325000.0,1_BAJO,1_BAJO,0
75160900,625000.0,2_MEDIO,2_MEDIO,0
75160901,825000.0,2_MEDIO,2_MEDIO,0
75160902,950000.0,2_MEDIO,2_MEDIO,0
77011011,950000.0,2_MEDIO,2_MEDIO,0
77011014,410000.0,2_MEDIO,2_MEDIO,0
77011015,1200000.0,3_ALTO,3_ALTO,0
77011018,190000.0,1_BAJO,1_BAJO,0
77011041,980000.0,2_MEDIO,2_MEDIO,0
77011046,450000.0,2_MEDIO,2_MEDIO,0
77029007,970000.0,2_MEDIO,2_MEDIO,0
77029018,825000.0,2_MEDIO,2_MEDIO,0
77029030,240000.0,1_BAJO,1_BAJO,1
77029035,445000.0,2_MEDIO,2_MEDIO,0
77029039,1000000.0,2_MEDIO,2_MEDIO,0
77029045,410000.0,2_MEDIO,2_MEDIO,0
78021001,410000.0,2_MEDIO,2_MEDIO,0
78021002,1050000.0,3_ALTO,3_ALTO,0
78021005,900000.0,2_MEDIO,2_MEDIO,0
78021006,325000.0,1_BAJO,1_BAJO,0
78021007,480000.0,2_MEDIO,2_MEDIO,1
78021009,250000.0,1_BAJO,1_BAJO,0
79002002,410000.0,2_MEDIO,2_MEDIO,0
79002053,575000.0,2_MEDIO,2_MEDIO,0
79002067,240000.0,1_BAJO,1_BAJO,1
79002901,250000.0,1_BAJO,1_BAJO,0
79002902,160000.0,1_BAJO,1_BAJO,0
79021011,500000.0,2_MEDIO,2_MEDIO,0
79021021,500000.0,2_MEDIO,2_MEDIO,0
79021023,375000.0,2_MEDIO,2_MEDIO,0
79021025,210000.0,1_BAJO,1_BAJO,1
79021028,325000.0,1_BAJO,1_BAJO,0
79032008,650000.0,2_MEDIO,2_MEDIO,0
79032010,340000.0,1_BAJO,1_BAJO,0
79032011,250000.0,1_BAJO,1_BAJO,0
79032012,575000.0,2_MEDIO,2_MEDIO,0
79032016,325000.0,1_BAJO,1_BAJO,0
79032017,250000.0,1_BAJO,1_BAJO,0
79032018,375000.0,2_MEDIO,2_MEDIO,0
79032019,160000.0,1_BAJO,1_BAJO,0
79032020,700000.0,2_MEDIO,2_MEDIO,0
79035013,500000.0,2_MEDIO,2_MEDIO,0
79035016,375000.0,2_MEDIO,2_MEDIO,0
79035018,160000.0,1_BAJO,1_BAJO,0
79035019,575000.0,2_MEDIO,2_MEDIO,0
79035021,610000.0,2_MEDIO,2_MEDIO,0
79038007,500000.0,2_MEDIO,2_MEDIO,0
79038008,160000.0,1_BAJO,1_BAJO,0
79038011,410000.0,2_MEDIO,2_MEDIO,0
79038014,160000.0,1_BAJO,1_BAJO,0
79038015,650000.0,2_MEDIO,2_MEDIO,0
79051592,500000.0,2_MEDIO,2_MEDIO,0
79051602,160000.0,1_BAJO,1_BAJO,0
79051740,210000.0,1_BAJO,1_BAJO,1
79051750,90000.0,1_BAJO,1_BAJO,0
79051751,250000.0,1_BAJO,1_BAJO,0
79063003,590000.0,2_MEDIO,2_MEDIO,0
79063010,340000.0,1_BAJO,1_BAJO,0
79063016,375000.0,2_MEDIO,2_MEDIO,0
79063017,320000.0,1_BAJO,1_BAJO,0
79063018,485000.0,2_MEDIO,2_MEDIO,0
