IDFolio,IDNumVehiculo,TipoVehiculo,IDMarca,AgnoFabricacion,Cilindrada,TipoMotor,SelloVerde,VehiculoEmpresa,TieneTag,trabajo,Modelo
2027008,28,1,352,2005,2000,1,1,2,2,2,legasi              
2027008,29,3,71,1998,2300,1,1,2,2,2,luv                 
2027009,26,1,166,2003,1500,1,1,2,2,2,accent              
2027009,53,8,197,2006,3500,2,1,2,2,2,porter              
2027901,30,1,197,1996,1400,1,1,2,2,2,pride               
2030002,3,1,352,2005,2000,1,1,2,2,2,forester            
2030002,36,1,274,1999,1400,1,1,2,2,2,astra               
2030010,4,3,367,2007,2500,2,1,2,2,2,halix               
2030010,5,3,269,2011,2300,2,1,2,2,2,street              
2030019,1,1,197,2013,2200,2,1,2,2,2,gran carnival       
2030019,2,1,243,2008,1800,1,1,2,2,2,c-200               
2030020,6,3,95,2010,2500,1,1,2,2,2,dacota              
2030021,7,1,197,2013,1200,1,1,2,2,2,mornig              
2030021,8,1,166,2011,1600,1,1,2,2,2,elantra             
2047002,21,1,71,2011,1300,1,1,2,2,2,spark               
2047002,49,1,279,2009,1600,1,1,2,2,2,307                 
2047005,23,1,367,2004,1400,1,1,2,2,2,yaris               
2047005,24,3,367,2005,1600,1,1,2,2,2,tercel              
2047005,25,3,367,2007,3000,2,1,2,2,2,hilux               
2047008,22,3,197,2011,2200,2,1,2,2,2,sorento             
2047902,42,3,269,2008,2000,1,1,2,2,2,x-trail             
2047902,43,1,302,1988,1600,1,2,2,2,2,19                  
3003005,79,1,279,2011,1800,1,1,2,2,2,307                 
3003005,80,1,279,2012,1600,1,1,2,2,2,206                 
3003005,90,1,71,2009,1600,1,1,2,2,2,CORSA               
3003038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3003039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3003040,77,1,367,2006,1600,1,1,2,2,2,YARIS               
3003040,78,3,118,2005,2500,1,1,2,2,2,RANGER              
3003040,110,1,279,2007,1300,1,1,2,2,2,307                 
3004002,120,1,250,2011,1500,1,1,2,2,2,Lancer              
3004010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3004013,149,1,279,2006,2000,1,1,2,2,2,Station             
3004013,150,1,197,2013,1300,1,1,2,2,2,Morning             
3004015,126,1,75,2012,1600,1,1,2,2,2,C4                  
3005002,139,1,197,2005,2000,1,1,2,2,2,Carnival            
3005002,140,1,197,2013,1200,1,1,2,2,2,Morning             
3005007,121,1,352,2011,2000,1,1,2,2,2,impresa             
3005007,122,1,75,2013,1800,1,1,2,2,2,c4                  
3005009,128,3,269,2010,2400,1,1,-1,2,-1,Terrano             
3005012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3006001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3006007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3006010,39,1,367,2005,1600,1,1,2,2,2,tercel              
3006012,19,1,71,2012,1600,1,1,2,2,2,spak                
4003031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4003032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4003033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4003034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006006,80,1,83,1999,1600,1,1,2,2,2,poiter              
4006901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4008003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4008005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4008009,72,1,269,2010,1600,1,1,2,2,2,V-16                
4008901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4011019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4011020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
