IDFolio,IDPersona,IDViaje,ZonaOrigen,ComunaOrigen,ZonaDestino,ComunaDestino,Proposito,PropositoEstraus,IDModo,IDModoAgregado,HoraInicio,HoraTermino,HoraMedia,TiempoViaje,CuadrasCaminadas,MinutosCaminados,IDPeriodos,IDPeriodosMedicionFlujos,ManzanaOri,ManzanaDes
525537,4,2,70,4101,15,4102,10,2,2,1,1:30:00 PM,1:45:00 PM,1:38:00 PM,12:15:00 AM,0,0,3,0,1604,5476
525537,4,1,39,4102,70,4101,3,1,2,1,7:30:00 AM,8:00:00 AM,7:45:00 AM,12:30:00 AM,0,0,1,1,5856,1604
525537,2,6,39,4102,39,4102,6,2,7,5,7:15:00 PM,7:23:00 PM,7:19:00 PM,12:08:00 AM,3,8,4,0,5876,5856
525537,2,5,39,4102,39,4102,10,2,7,5,7:00:00 PM,7:08:00 PM,7:04:00 PM,12:08:00 AM,3,8,4,0,5856,5876
525537,2,4,39,4102,39,4102,6,2,7,5,5:45:00 PM,6:00:00 PM,5:53:00 PM,12:15:00 AM,5,15,4,0,5521,5856
525537,2,3,39,4102,39,4102,4,2,7,5,4:00:00 PM,4:15:00 PM,4:08:00 PM,12:15:00 AM,5,15,2,0,5856,5521
525537,2,2,43,4102,39,4102,6,2,7,5,10:40:00 AM,11:00:00 AM,10:50:00 AM,12:20:00 AM,10,20,2,2,5271,5856
525537,2,1,39,4102,43,4102,10,2,7,5,9:00:00 AM,9:20:00 AM,9:10:00 AM,12:20:00 AM,10,20,2,0,5856,5271
525537,1,7,39,4102,39,4102,6,2,7,5,3:00:00 PM,3:05:00 PM,3:02:00 PM,12:05:00 AM,5,5,2,0,5955,5856
525537,1,6,39,4102,39,4102,10,2,7,5,2:45:00 PM,2:50:00 PM,2:47:00 PM,12:05:00 AM,5,5,2,0,5856,5955
525537,1,5,15,4102,39,4102,6,2,1,1,2:10:00 PM,2:20:00 PM,2:15:00 PM,12:10:00 AM,0,0,2,0,5476,5856
525537,1,4,70,4101,15,4102,10,2,1,1,1:30:00 PM,1:45:00 PM,1:38:00 PM,12:15:00 AM,0,0,3,0,1604,5476
525537,1,3,39,4102,70,4101,7,2,1,1,12:30:00 PM,1:00:00 PM,12:45:00 PM,12:30:00 AM,0,0,3,0,5856,1604
525537,1,2,70,4101,39,4102,6,2,1,1,8:05:00 AM,8:30:00 AM,8:17:00 AM,12:25:00 AM,0,0,1,1,1604,5856
525537,1,1,39,4102,70,4101,7,2,1,1,7:30:00 AM,8:00:00 AM,7:45:00 AM,12:30:00 AM,0,0,1,1,5856,1604
525533,5,2,39,4102,39,4102,6,2,7,5,4:08:00 PM,4:10:00 PM,4:09:00 PM,12:02:00 AM,1,2,2,0,5826,5856
525533,5,1,39,4102,39,4102,10,2,7,5,4:00:00 PM,4:02:00 PM,4:01:00 PM,12:02:00 AM,1,2,2,0,5856,5826
525533,4,2,1,4102,39,4102,6,0,3,2,9:00:00 PM,9:30:00 PM,9:15:00 PM,12:30:00 AM,5,6,5,0,4704,5856
525533,4,1,39,4102,1,4102,1,0,3,2,9:00:00 AM,9:25:00 AM,9:12:00 AM,12:25:00 AM,3,4,2,0,5856,4704
525533,3,2,67,4101,39,4102,6,0,1,1,10:30:00 PM,11:00:00 PM,10:45:00 PM,12:30:00 AM,0,0,5,0,2523,5856
525533,3,1,39,4102,67,4101,1,0,1,1,7:00:00 AM,7:40:00 AM,7:20:00 AM,12:40:00 AM,0,0,1,1,5856,2523
525533,2,2,39,4102,39,4102,6,2,7,5,4:08:00 PM,4:10:00 PM,4:09:00 PM,12:02:00 AM,1,2,2,0,5826,5856
525533,2,1,39,4102,39,4102,10,2,7,5,4:00:00 PM,4:02:00 PM,4:01:00 PM,12:02:00 AM,1,2,2,0,5856,5826
525519,4,3,58,4101,39,4102,6,2,2,1,6:30:00 PM,7:20:00 PM,6:55:00 PM,12:50:00 AM,0,0,4,0,1403,5813
525519,4,2,58,4101,58,4101,12,2,2,1,2:30:00 PM,3:00:00 PM,2:45:00 PM,12:30:00 AM,0,0,2,0,1403,1403
525519,4,1,39,4102,58,4101,3,1,2,1,7:30:00 AM,8:00:00 AM,7:45:00 AM,12:30:00 AM,0,0,1,1,5813,1403
525519,3,4,91,4101,39,4102,6,2,2,1,9:00:00 PM,9:15:00 PM,9:08:00 PM,12:15:00 AM,0,0,5,0,1199,5813
525519,3,3,39,4102,91,4101,5,2,7,5,5:00:00 PM,5:30:00 PM,5:15:00 PM,12:30:00 AM,30,30,2,0,5813,1199
525519,3,2,45,4101,39,4102,6,1,7,5,1:00:00 PM,1:10:00 PM,1:05:00 PM,12:10:00 AM,8,10,3,0,1184,5813
525519,3,1,39,4102,45,4101,3,1,7,5,8:00:00 AM,8:10:00 AM,8:05:00 AM,12:10:00 AM,8,10,1,1,5813,1184
525519,2,7,60,4101,39,4102,6,2,2,1,7:00:00 PM,7:20:00 PM,7:10:00 PM,12:20:00 AM,0,0,4,0,1636,5813
525519,2,6,58,4101,60,4101,12,2,2,1,3:30:00 PM,6:30:00 PM,5:00:00 PM,3:00:00 AM,0,0,2,0,1403,1636
525519,2,5,10,4102,58,4101,12,2,1,1,2:30:00 PM,3:00:00 PM,2:45:00 PM,12:30:00 AM,0,0,2,0,4646,1403
525519,2,4,65,4101,10,4102,10,2,1,1,12:40:00 PM,12:50:00 PM,12:45:00 PM,12:10:00 AM,0,0,3,0,1396,4646
525519,2,3,74,4101,65,4101,1,0,7,5,10:00:00 AM,12:30:00 PM,11:15:00 AM,2:30:00 AM,20,90,2,2,1295,1396
525519,2,2,58,4101,74,4101,13,2,1,1,8:15:00 AM,8:35:00 AM,8:25:00 AM,12:20:00 AM,0,0,1,1,1403,1295
525519,2,1,39,4102,58,4101,7,2,1,1,7:30:00 AM,8:00:00 AM,7:45:00 AM,12:30:00 AM,0,0,1,1,5813,1403
525519,1,3,60,4101,39,4102,6,2,1,1,7:00:00 PM,7:20:00 PM,7:10:00 PM,12:20:00 AM,0,0,4,0,1636,5813
