IDFolio,Factor,DiaEncuesta,DiaEncuestaHogar
206228,37.15797875802915,Miércoles,3
206457,80.30304536560934,Miércoles,3
206545,25.499240956137925,Martes,2
206560,26.611598720558447,Miércoles,3
206872,36.3548879094201,Martes,2
206874,41.34239426899533,Martes,2
206879,40.31534299547816,Miércoles,3
206881,27.348116979239393,Martes,2
206888,40.31534299547816,Jueves,4
206939,27.348116979239393,Jueves,4
206940,36.3548879094201,Jueves,4
206943,40.31534299547816,Jueves,4
206944,41.34239426899533,Jueves,4
206964,27.348116979239393,Miércoles,3
206998,27.348116979239393,Jueves,4
207004,41.681592664200174,Martes,2
207020,27.348116979239393,Martes,2
207103,41.34239426899533,Miércoles,3
207105,27.348116979239393,Jueves,4
207112,41.34239426899533,Jueves,4
207114,36.3548879094201,Miércoles,3
207115,36.3548879094201,Martes,2
207123,41.34239426899533,Miércoles,3
207127,36.3548879094201,Jueves,4
207128,36.3548879094201,Miércoles,3
207254,41.681592664200174,Miércoles,3
207463,22.446384106675634,Jueves,4
207464,11.962711570764966,Miércoles,3
207470,22.446384106675634,Martes,2
207472,118.92556352156534,Martes,2
207477,22.446384106675634,Martes,2
207478,22.446384106675634,Miércoles,3
207480,90.72896613481306,Miércoles,3
207484,11.962711570764966,Miércoles,3
207569,170.03968850953433,Martes,2
207602,42.423626644076045,Martes,2
207605,53.78062921517566,Martes,2
207630,42.423626644076045,Miércoles,3
207740,42.423626644076045,Martes,2
207742,54.05504427367595,Jueves,4
207770,24.440969219304122,Jueves,4
207792,24.440969219304122,Miércoles,3
207806,28.06335541664223,Miércoles,3
207819,74.61136291823928,Miércoles,3
207826,74.61136291823928,Jueves,4
207885,74.61136291823928,Martes,2
207976,42.423626644076045,Martes,2
207987,53.78062921517566,Miércoles,3
208141,27.07649298381657,Jueves,4
208152,32.02534288201309,Jueves,4
208156,79.88144787096319,Jueves,4
208188,27.07649298381657,Jueves,4
208195,24.25573869918983,Miércoles,3
208306,36.60765651487291,Miércoles,3
208314,27.07649298381657,Miércoles,3
208344,32.02534288201309,Martes,2
208528,36.60765651487291,Miércoles,3
208540,24.25573869918983,Miércoles,3
208550,79.88144787096319,Miércoles,3
208569,27.07649298381657,Miércoles,3
208653,32.02534288201309,Jueves,4
208698,27.07649298381657,Jueves,4
209523,23.276694942990765,Martes,2
209559,36.79728198978337,Jueves,4
209603,53.50504640132082,Jueves,4
209671,23.761419075206017,Martes,2
209672,33.83127825589364,Martes,2
209886,39.50838913470026,Martes,2
209958,38.976773152530924,Martes,2
210486,51.029011424886065,Jueves,4
210528,27.164451271798647,Jueves,4
210555,31.109571015562814,Martes,2
210728,30.30539885583375,Martes,2
210832,42.76600599562083,Martes,2
210976,31.369346416193125,Jueves,4
210978,31.369346416193125,Martes,2
211078,54.10460890924299,Jueves,4
211090,42.67919066000421,Jueves,4
211116,50.04055263994361,Jueves,4
211169,42.76600599562083,Jueves,4
211241,26.122574181950068,Jueves,4
211242,30.10519003333281,Miércoles,3
211248,105.58823804513894,Martes,2
211281,39.27309238102851,Jueves,4
211286,30.10519003333281,Miércoles,3
211311,26.122574181950068,Miércoles,3
211339,133.21481989062832,Miércoles,3
211349,40.00941542440374,Miércoles,3
212017,64.09212832593833,Miércoles,3
212379,64.09212832593833,Jueves,4
212402,40.00941542440374,Jueves,4
212445,40.00941542440374,Martes,2
213412,27.084164121013576,Jueves,4
214502,79.24432057859333,Miércoles,3
214706,38.45458867787065,Martes,2
217127,36.58381542037807,Martes,2
217855,34.193993478284824,Miércoles,3
217876,35.2105403772069,Jueves,4
217883,35.2105403772069,Jueves,4
217885,36.74653582293018,Jueves,4
217952,31.363267823029176,Jueves,4
217982,34.193993478284824,Jueves,4
218013,35.2105403772069,Jueves,4
218250,32.562855404667346,Miércoles,3
218787,64.36772157197375,Miércoles,3
218806,44.200615325705726,Jueves,4
218845,45.1117145381881,Jueves,4
218919,48.65986400652651,Martes,2
218951,78.13799067601886,Miércoles,3
218976,21.245591476337932,Martes,2
218977,78.13799067601886,Martes,2
230072,43.129502504193866,Jueves,4
500009,39.48257831571674,Martes,2
500018,37.43085051542747,Martes,2
500038,34.98911663580374,Miércoles,3
500042,34.98911663580374,Miércoles,3
500043,67.05396829197937,Miércoles,3
500045,23.32226719114431,Martes,2
500046,36.9603866332369,Martes,2
500051,36.9603866332369,Martes,2
500096,54.32677867034939,Martes,2
500213,29.127117460164275,Martes,2
500225,54.40824408573832,Martes,2
500228,29.127117460164275,Martes,2
500913,22.209929881479297,Miércoles,3
