IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,IDJornadaTrabajo,Ingreso,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor
607103,4,1989,1,2,5,7,0,14,0,0,2,0,1,2,32.29892414916438
607105,1,1941,1,0,4,-1,0,3,2,400000,1,1,0,0,49.90579658098721
607105,2,1949,2,1,3,-1,0,11,0,0,2,0,0,0,65.3456180429597
607105,3,1963,1,2,4,-1,0,4,1,350000,1,1,1,2,10.980432805168105
607107,1,1964,1,0,4,-1,0,4,1,1000000,1,1,0,0,25.55056710952404
607107,2,1962,2,1,4,-1,0,11,0,0,2,0,1,2,27.658611931782346
607107,3,1986,2,2,4,-1,0,4,1,300000,1,1,1,2,25.294911993888498
607107,4,1990,2,2,6,6,0,14,0,0,2,0,1,2,20.705302421813702
607107,5,1991,1,2,4,-1,0,13,0,0,2,0,0,0,39.89991066585022
607107,6,2002,2,2,3,4,0,14,0,0,2,0,1,2,31.0700371678324
607107,7,1984,1,3,5,-1,1,4,1,350000,1,1,1,2,129.8936761613613
607107,8,2008,1,3,1,-1,0,13,0,0,2,0,1,2,93.53570176998831
607108,1,1938,1,0,4,-1,0,9,0,500000,1,1,0,0,184.57049753151244
607108,2,1945,2,1,3,-1,0,9,0,90000,1,0,1,2,88.97567048552779
607115,1,1948,2,0,4,-1,0,3,1,400000,1,1,0,0,59.36444145439662
607133,1,1966,2,0,4,-1,0,4,1,250000,1,1,1,2,22.38960924843401
607133,2,1986,2,2,4,-1,0,4,1,400000,1,1,1,2,20.47619732015216
607133,3,1988,1,2,4,7,0,14,0,0,2,0,1,2,32.29892414916438
607133,4,1999,2,2,3,4,0,14,0,0,2,1,0,0,25.15115339981057
607149,1,1956,1,0,4,-1,0,4,1,600000,1,1,0,0,10.980432805168105
607149,2,1958,2,1,4,-1,0,11,0,0,2,1,0,0,11.886371386565056
607149,3,1994,1,2,4,4,0,14,0,0,2,0,1,2,34.656262600699485
607152,1,1946,2,0,4,-1,0,9,0,220000,1,1,1,2,45.31658735656072
607152,2,1973,2,2,7,-1,1,4,1,500000,1,1,1,2,20.47619732015216
607152,3,1979,2,2,6,-1,0,4,1,450000,1,1,1,3,20.47619732015216
607152,4,2003,1,3,3,4,0,14,0,0,2,0,1,2,15.897168614321355
607154,1,1962,2,0,4,-1,0,11,0,0,2,1,1,5,11.886371386565056
607154,2,1987,2,2,6,6,0,14,0,0,2,0,1,6,8.89816578155963
607154,3,1992,1,2,6,6,0,14,0,0,2,0,1,5,17.147106211793975
607156,1,1931,2,0,3,-1,0,9,0,250000,1,1,0,0,24.058025368596986
607156,2,1976,2,2,4,-1,0,4,1,250000,1,1,1,2,10.870564252877257
607156,3,2002,1,3,3,4,0,14,0,0,2,0,1,2,8.439613574671283
607162,1,1990,2,0,5,-1,1,11,0,0,2,0,1,5,19.132749543453745
607162,2,1977,1,1,3,-1,0,4,1,270000,1,0,1,4,38.624237863252986
607162,3,2009,1,2,1,-1,0,13,0,0,2,0,1,5,107.0344283506623
607164,1,1937,2,0,3,-1,0,9,0,100000,1,0,1,6,15.609934484258645
607170,1,1963,1,0,4,-1,0,3,1,600000,1,1,1,2,39.03020554387321
607170,2,1967,2,1,4,-1,0,11,0,0,2,0,1,2,32.60945345922412
607170,3,1986,2,2,6,6,0,14,0,0,2,0,1,2,44.17167845999627
607170,4,1990,2,2,4,-1,0,12,0,0,2,0,1,2,19.442089454842453
607212,1,1961,1,0,4,-1,0,4,1,550000,1,1,0,0,39.03020554387321
607212,2,1961,2,1,3,-1,0,11,0,0,2,0,1,2,32.60945345922412
