IDFolio,IDPersona,Factor,DiaEncuesta,DiaEncuestaHogar
524345,1,33.85447237189366,Martes,2
526725,3,82.69189456845419,Martes,2
531974,3,22.246549434081555,Martes,2
500225,1,9.79056975562396,Martes,2
512216,1,20.533248156412405,Martes,2
524345,2,45.28454475834259,Martes,2
526725,4,69.50093640266061,Martes,2
531940,1,23.852869967253145,Miércoles,3
500225,2,9.79056975562396,Martes,2
512216,2,21.76748391663446,Martes,2
524345,3,49.604446978873646,Martes,2
526725,5,60.008126029344005,Martes,2
531940,2,33.99082045189046,Miércoles,3
500225,3,12.876524138750248,Martes,2
512216,3,21.76748391663446,Martes,2
531940,3,31.47935235050416,Miércoles,3
500225,4,12.876524138750248,Martes,2
512216,4,15.605379589431609,Martes,2
531940,4,34.64309441030806,Miércoles,3
500213,1,19.62343309673362,Martes,2
512216,5,14.736152976742568,Martes,2
531940,5,17.560733455492734,Miércoles,3
500213,2,10.892556797574947,Martes,2
531946,1,22.175208396395405,Miércoles,3
27404401,1,5.393124519719263,Martes,2
500213,3,117.3758757521153,Martes,2
531946,2,23.74336271649105,Miércoles,3
27404401,2,1.0596242203394353,Martes,2
531934,1,22.955897522769906,Miércoles,3
525307,1,49.604446978873646,Martes,2
531934,2,24.579259487560094,Miércoles,3
27404402,1,1.0534445200461415,Martes,2
500096,1,59.540149171297244,Martes,2
524480,1,40.64690959042249,Martes,2
525307,2,57.26258173908807,Martes,2
531934,3,47.262243226387845,Miércoles,3
27404402,2,2.930270609584993,Martes,2
500096,2,119.59367524247256,Martes,2
509681,1,12.075172946969461,Martes,2
524480,2,45.28454475834259,Martes,2
525307,3,41.53437969116189,Martes,2
500096,7,54.93109164834519,Martes,2
509681,2,36.43212012390447,Martes,2
524480,3,55.10363008233118,Martes,2
525308,1,28.99766024058705,Martes,2
500096,3,56.551218058011216,Martes,2
509681,3,17.315788514018724,Martes,2
524482,1,33.85447237189366,Martes,2
525308,2,38.78795772171783,Martes,2
526720,1,22.687650162342248,Martes,2
500096,4,71.29155947479775,Martes,2
509681,4,17.315788514018724,Martes,2
524482,2,36.91714549080822,Martes,2
525308,3,42.48812045021793,Martes,2
526720,2,58.04183657300189,Martes,2
500096,5,71.29155947479775,Martes,2
524482,3,43.508061606480496,Martes,2
525308,4,37.26633144159327,Martes,2
526670,1,44.558432622309134,Martes,2
531902,1,51.40516850350579,Miércoles,3
27404403,1,0.06304724886732621,Martes,2
500096,6,146.07817635567812,Martes,2
524490,1,41.19355448814449,Martes,2
525308,5,19.694973131408275,Martes,2
526670,2,37.18757585079797,Martes,2
531902,2,36.073292249427475,Miércoles,3
27404403,2,1.4507114784211506,Martes,2
524490,2,45.8935594555791,Martes,2
525308,6,29.74424838262921,Martes,2
531902,3,52.3916187361609,Miércoles,3
20409801,1,71.19109193637291,Jueves,4
524490,4,35.19312466522021,Martes,2
531902,4,68.70115861142857,Miércoles,3
20409801,2,42.68516990867594,Jueves,4
509675,1,1.1952083959406017,Jueves,4
524490,3,40.66932748844281,Martes,2
526953,1,104.34146197998913,Martes,2
531867,1,72.75091967499881,Jueves,4
509675,2,0.5680694876910997,Jueves,4
524479,1,41.45416193977917,Martes,2
526953,2,127.3050621799078,Martes,2
531867,2,140.60675667855406,Jueves,4
509675,3,7.599588852264787,Jueves,4
524479,2,46.1839010812236,Martes,2
526953,3,98.38976123432406,Martes,2
531867,3,74.14698866433366,Jueves,4
524479,3,44.37213676746302,Martes,2
525208,1,45.8935594555791,Miércoles,3
526765,1,72.71325987436687,Martes,2
526953,4,98.38976123432406,Martes,2
531867,4,68.46255023355434,Jueves,4
4401501,1,16.352917534131198,Miércoles,3
524479,4,56.197994581139824,Martes,2
525208,2,42.09295983826294,Miércoles,3
526739,1,37.18757585079797,Martes,2
526953,5,95.27494805527171,Martes,2
531867,5,49.47500680619422,Jueves,4
4401501,2,29.134283183396636,Miércoles,3
524479,5,56.197994581139824,Martes,2
525208,3,42.09295983826294,Miércoles,3
526440,1,48.89029887778534,Martes,2
526739,2,68.10155252302638,Martes,2
526963,1,119.06796323996109,Martes,2
531867,6,37.585427243888795,Jueves,4
4401501,3,27.88248856923157,Miércoles,3
525208,4,42.09295983826294,Miércoles,3
526440,2,55.50317296246146,Martes,2
526744,1,18.904159881460856,Martes,2
526963,2,24.946222245049068,Martes,2
531867,7,74.14698866433366,Jueves,4
4401501,4,27.88248856923157,Miércoles,3
39562401,1,19.40657593141649,Martes,2
524779,1,41.45416193977917,Miércoles,3
526440,3,49.79071859793725,Martes,2
526744,2,18.561255122217997,Martes,2
526963,3,11.310414385876081,Martes,2
531864,1,19.215069755310253,Jueves,4
4401502,1,8.270823517356526,Miércoles,3
39562401,2,29.308697752924093,Martes,2
524421,1,23.302913416249034,Martes,2
524779,2,46.1839010812236,Miércoles,3
526440,4,49.79071859793725,Martes,2
526744,3,34.45243531090501,Martes,2
526963,4,51.116022094383354,Martes,2
531854,1,24.579259487560094,Jueves,4
4401502,2,24.11250072701797,Miércoles,3
524421,2,35.19312466522021,Martes,2
524779,3,50.58959706200984,Miércoles,3
526440,5,81.15697960716695,Martes,2
526744,4,28.956604851734127,Martes,2
531851,1,26.89250866658115,Jueves,4
4401502,3,27.88248856923157,Miércoles,3
524421,3,41.19355448814449,Martes,2
524779,4,58.39982326876144,Miércoles,3
526736,1,42.73704759503721,Martes,2
531851,2,22.955897522769906,Jueves,4
4401502,4,32.70454445764978,Miércoles,3
524421,4,41.19355448814449,Martes,2
524779,5,40.926618463406136,Miércoles,3
526736,2,34.45243531090501,Martes,2
531851,3,63.22414821423946,Jueves,4
4400001,1,36.58231362600563,Miércoles,3
524614,1,19.40657593141649,Martes,2
525206,1,40.64690959042249,Miércoles,3
526736,3,32.5171249262501,Martes,2
531828,1,31.47935235050416,Jueves,4
4400001,2,61.793779085967905,Miércoles,3
524614,2,29.308697752924093,Martes,2
525206,2,45.28454475834259,Miércoles,3
526736,4,32.5171249262501,Martes,2
531828,2,65.69455124325832,Jueves,4
4400001,3,47.733394059134866,Miércoles,3
525206,3,51.44988936643466,Miércoles,3
525500,1,34.81564447926446,Martes,2
526450,1,45.08435442927775,Martes,2
